record_id,model,candidate,nominal_label,label_set,scenario_count,nominal_label_agreement_count,nominal_label_agreement_rate,changed_scenarios,variation_drivers,parameter_stable
run_020148402fc4a275,gemini,Fe-Co-Ni-Mn-Zn,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
run_052fbddb7e7b0390,gpt,Fe-Co-Ni-Mn-Zn,supported,flagged_insufficient; supported,11,7,0.6363636363636364,source_strong_discount; entailment_strong_discount; gate_strict; all_strict,source_weight; entailment_weight; gate_threshold; combined_parameters,no
run_09cb718c41fd3a33,gemini,Fe-Co-Ni-Mn-Zn,flagged_insufficient,flagged_insufficient; supported,11,6,0.5454545454545454,source_weak_discount; traceability_weak_discount; entailment_weak_discount; gate_lenient; all_lenient,source_weight; traceability_weight; entailment_weight; gate_threshold; combined_parameters,no
run_0b5d48cea00b1796,deepseek,Fe-Co-Ni-Mn-Zn,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
run_1eccf111e49d796b,qwen,Fe-Co-Ni-Mn-Zn,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
run_1edd3c414c7f50b3,gpt,Fe-Co-Ni-Mn-Zn,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
run_2360feb965109230,gpt,Fe-Ni-Mn-Cu-Zn,flagged_insufficient,flagged_insufficient; supported,11,10,0.9090909090909091,all_lenient,combined_parameters,no
run_353c84909b3aca98,qwen,Fe-Co-Ni-Mn-Cu,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
run_4c59c2c3497dce9e,deepseek,Fe-Co-Ni-Mn-Cu,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
run_51a24a9a75df8a5a,gpt,Fe-Co-Ni-Mn-Zn,flagged_insufficient,flagged_insufficient; supported,11,10,0.9090909090909091,all_lenient,combined_parameters,no
run_5bd3e94ad1b2be23,gemini,Fe-Co-Ni-Mn-Zn,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
run_5ca33401d63c3d35,deepseek,Fe-Co-Ni-Mn-Zn,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
run_6e30d5d8c6193e21,gpt,Fe-Co-Ni-Cu-Zn,flagged_insufficient,flagged_insufficient,11,11,1.0,,,yes
